ID;Departement;Column5;Longitude;Latitude;LonGRD;LatGRD;LonDMS;LatDMS
31274;77;le mesnil amelot;2.6;49.0167;284;54465;23531;490107
31275;77;montry;2.83333;48.8833;546;54319;24940;485312
31276;77;chatenay sur seine;3.1;48.4167;842;53798;30540;482506
31277;77;augers en brie;3.35;48.6833;1134;54089;32126;484049
31278;77;jaulnes;3.26667;48.4167;1040;53797;31622;482503
31279;77;congis sur therouanne;2.97528;49.007;710;54452;25831;490025
31280;77;saint sauveur les bray;3.2;48.4333;970;53821;31234;482619
31281;77;saint ange le viel;2.90111;48.2656;627;53628;25404;481556
31282;77;thenisy;3.18333;48.4833;933;53877;31034;482922
31283;77;larchant;2.6;48.2833;289;53650;23548;481705
31284;77;fontaine le port;2.76667;48.4833;475;53875;24551;482916
31285;77;forfry;2.85;49.05;567;54508;25050;490327
31286;77;montenils;3.48333;48.85;1268;54269;32839;485033
31287;77;oissery;2.81667;49.0667;534;54523;24900;490414
31288;77;les ecrennes;2.85;48.5;580;53893;25132;483012
31289;77;moissy cramayel;2.6;48.6167;284;54029;23532;483734
31290;77;poligny;2.75;48.2167;454;53583;24444;481328
31291;77;vert saint denis;2.61667;48.5667;317;53963;23719;483401
31292;77;courtacon;3.28333;48.7;1061;54106;31728;484144
31293;77;amponville;2.53333;48.2833;215;53643;23147;481644
31294;77;gouvernes;2.7;48.8667;397;54289;24138;485138
31295;77;jouy sur morin;3.26667;48.8;1041;54216;31624;484740
31296;77;nanteau sur lunain;2.81667;48.25;528;53619;24841;481524
31297;77;chenou;2.65;48.1667;357;53517;23929;480956
31298;77;crisenoy;2.75;48.6;452;53995;24437;483544
31299;77;servon;2.58333;48.7167;279;54130;23514;484301
31300;77;guermantes;2.7;48.85;410;54283;24221;485116
31301;77;champeaux;2.8;48.5833;523;53984;24826;483506
31302;77;lorrez le bocage preaux;2.90084;48.237;627;53597;25403;481413
31303;77;soisy bouy;3.3;48.5167;1064;53902;31740;483042
31304;77;remauville;2.81667;48.2167;541;53571;24924;481249
31305;77;longueville;3.25;48.5167;1012;53905;31449;483052
31306;77;jutigny;3.23333;48.5;994;53887;31353;482954
31307;77;saint mammes;2.81667;48.3833;531;53763;24851;482312
31308;77;montge en goele;2.75;49.0275;459;54475;24460;490139
31309;77;herme;3.33333;48.4833;1120;53870;32041;482857
31310;77;boissy le chatel;3.13333;48.8167;889;54247;30811;484920
31311;77;lagny sur marne;2.71667;48.8667;411;54309;24224;485241
31312;77;chanteloup en brie;2.73917;48.855;447;54283;24421;485118
31313;77;villemarechal;2.86667;48.2667;591;53631;25206;481603
31314;77;orly sur morin;3.23333;48.9;994;54338;31352;485416
31315;77;dagny;3.16667;48.7167;927;54130;31015;484303
31316;77;courchamp;3.28333;48.6333;1056;54040;31713;483811
31317;77;chartrettes;2.7;48.4833;408;53875;24213;482915
31318;77;vimpelles;3.16667;48.4333;920;53822;30951;482623
31319;77;valence en brie;2.88333;48.4333;615;53827;25325;482640
31320;77;ury;2.6;48.3333;297;53715;23613;482036
31321;77;ormesson;2.65;48.2333;352;53605;23912;481440
31322;77;tousson;2.46667;48.35;135;53719;22730;482049
31323;77;savins;3.2;48.5167;959;53900;31159;483036
31324;77;saint pierre les nemours;2.68333;48.2667;381;53628;24047;481555
31325;77;breau;2.87806;48.5617;602;53957;25241;483342
31326;77;laval en brie;2.98333;48.4167;733;53805;25947;482528
31327;77;dampmart;2.73333;48.8833;443;54319;24406;485312
31328;77;couilly pont aux dames;2.86667;48.8833;579;54316;25128;485304
31329;77;claye souilly;2.7;48.95;389;54383;24112;485642
31330;77;chalautre la petite;3.31667;48.5333;1083;53921;31842;483145
31331;77;champdeuil;2.73333;48.6167;438;54023;24350;483714
31332;77;boissise la bertrand;2.58333;48.5167;281;53920;23521;483139
31333;77;bois le roi;2.7;48.4667;401;53859;24150;482825
31334;77;passy sur seine;3.35;48.4167;1123;53806;32050;482530
31335;77;neufmoutiers en brie;2.83333;48.7667;551;54188;24956;484609
31336;77;soignolles en brie;2.68333;48.65;403;54061;24159;483918
31337;77;champs sur marne;2.6;48.85;295;54281;23607;485110
31338;77;villeroy;2.78333;48.9833;495;54426;24654;485901
31339;77;hautefeuille;2.96667;48.7667;700;54184;25800;484555
31340;77;presles en brie;2.75;48.7167;450;54128;24430;484253
31341;77;sourdun;3.35;48.5333;1126;53930;32101;483213
31342;77;sablonnieres;3.28333;48.8667;1066;54306;31747;485231
31343;77;precy sur marne;2.78333;48.9333;486;54368;24626;485552
31344;77;sainte aulde;3.17306;48.9939;929;54438;31023;485938
31345;77;gastins;3.01667;48.6333;759;54032;30111;483742
31346;77;thoury ferottes;2.95;48.2833;674;53657;25635;481728
31347;77;pomponne;2.68333;48.8833;394;54313;24127;485255
